## ENSEMBL VARIANT EFFECT PREDICTOR v105.0
## Output produced at 2023-02-09 15:03:05
## Using cache in /home/hjb_xxf/ssd_1/homo_sapiens/105_GRCh38
## Using API version 105, DB version ?
## ensembl version 105.f357e33
## ensembl-funcgen version 105.660df8f
## ensembl-variation version 105.ac8178e
## ensembl-io version 105.2a0a40c
## ClinVar version 202201
## gnomADe version r2.1.1
## assembly version GRCh38.p13
## gnomADg version v3.1.2
## dbSNP version 154
## COSMIC version 95
## HGMD-PUBLIC version 20204
## sift version sift5.2.2
## polyphen version 2.2.2
## 1000genomes version phase3
## regbuild version 1.0
## gencode version GENCODE 41
## genebuild version 2014-07
## Column descriptions:
## Uploaded_variation : Identifier of uploaded variant
## Location : Location of variant in standard coordinate format (chr:start or chr:start-end)
## Allele : The variant allele used to calculate the consequence
## Gene : Stable ID of affected gene
## Feature : Stable ID of feature
## Feature_type : Type of feature - Transcript, RegulatoryFeature or MotifFeature
## Consequence : Consequence type
## cDNA_position : Relative position of base pair in cDNA sequence
## CDS_position : Relative position of base pair in coding sequence
## Protein_position : Relative position of amino acid in protein
## Amino_acids : Reference and variant amino acids
## Codons : Reference and variant codon sequence
## Existing_variation : Identifier(s) of co-located known variants
## Extra column keys:
## IMPACT : Subjective impact classification of consequence type
## DISTANCE : Shortest distance from variant to transcript
## STRAND : Strand of the feature (1/-1)
## FLAGS : Transcript quality flags
#Uploaded_variation	Location	Allele	Gene	Feature	Feature_type	Consequence	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	Extra
chr12_97717945_insertion	chr12:97717945	insertion	ENSG00000206899	ENST00000384172	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=3771;STRAND=1
chr12_98606537_insertion	chr12:98606537	insertion	ENSG00000075415	ENST00000552981	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=170;STRAND=1
chr12_99348427_insertion	chr12:99348427	insertion	ENSG00000185046	ENST00000683438	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_99894509_insertion	chr12:99894509	insertion	ENSG00000185046	ENST00000683438	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_101362527_insertion	chr12:101362527	insertion	ENSG00000120800	ENST00000261637	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_101779035_insertion	chr12:101779035	insertion	ENSG00000111670	ENST00000299314	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_103360576_insertion	chr12:103360576	insertion	ENSG00000179088	ENST00000548883	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_104417575_insertion	chr12:104417575	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_105385627_insertion	chr12:105385627	insertion	ENSG00000235162	ENST00000549893	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_105437084_insertion	chr12:105437084	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_105437094_insertion	chr12:105437094	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_105750156_insertion	chr12:105750156	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_109415917_insertion	chr12:109415917	insertion	ENSG00000174527	ENST00000310903	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_109492465_insertion	chr12:109492465	insertion	ENSG00000151148	ENST00000342494	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_109661597_insertion	chr12:109661597	insertion	ENSG00000200794	ENST00000363924	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=1266;STRAND=-1
chr12_109867988_insertion	chr12:109867988	insertion	ENSG00000139433	ENST00000318348	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_111332409_insertion	chr12:111332409	insertion	ENSG00000111249	ENST00000261726	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_114350840_insertion	chr12:114350840	insertion	ENSG00000089225	ENST00000405440	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=3071;STRAND=-1
chr12_114350948_insertion	chr12:114350948	insertion	ENSG00000089225	ENST00000405440	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=2963;STRAND=-1
chr12_117198192_insertion	chr12:117198192	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_117376643_insertion	chr12:117376643	insertion	ENSG00000089250	ENST00000549189	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_119654896_insertion	chr12:119654896	insertion	ENSG00000248636	ENST00000537366	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_120352612_insertion	chr12:120352612	insertion	ENSG00000135097	ENST00000257552	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_120928224_insertion	chr12:120928224	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_121707083_insertion	chr12:121707083	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_123198841_insertion	chr12:123198841	insertion	ENSG00000051825	ENST00000606320	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_124771192_insertion	chr12:124771192	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_124948789_insertion	chr12:124948789	insertion	ENSG00000150990	ENST00000308736	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_125282028_insertion	chr12:125282028	insertion	ENSG00000139364	ENST00000682704	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_125437664_insertion	chr12:125437664	insertion	ENSG00000139364	ENST00000682704	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_125866786_insertion	chr12:125866786	insertion	ENSG00000286209	ENST00000547441	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_125866796_insertion	chr12:125866796	insertion	ENSG00000286209	ENST00000547441	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_126018401_insertion	chr12:126018401	insertion	ENSG00000275212	ENST00000642407	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_126420569_insertion	chr12:126420569	insertion	ENSG00000255595	ENST00000642569	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_126420572_insertion	chr12:126420572	insertion	ENSG00000255595	ENST00000642569	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_126794793_insertion	chr12:126794793	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_127553470_insertion	chr12:127553470	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_127699288_insertion	chr12:127699288	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_128145427_insertion	chr12:128145427	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_128504970_insertion	chr12:128504970	insertion	ENSG00000181234	ENST00000435159	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_128879378_insertion	chr12:128879378	insertion	ENSG00000151948	ENST00000281703	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_128879468_insertion	chr12:128879468	insertion	ENSG00000151948	ENST00000281703	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_129575759_insertion	chr12:129575759	insertion	ENSG00000151952	ENST00000422113	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr12_130192009_insertion	chr12:130192009	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_130980084_insertion	chr12:130980084	insertion	ENSG00000111452	ENST00000261654	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_130980249_insertion	chr12:130980249	insertion	ENSG00000111452	ENST00000261654	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_132380851_insertion	chr12:132380851	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr12_132566735_insertion	chr12:132566735	insertion	ENSG00000112787	ENST00000680143	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr12_132618261_insertion	chr12:132618261	insertion	ENSG00000187848	ENST00000643471	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=515;STRAND=1
chr12_132892444_insertion	chr12:132892444	insertion	ENSG00000072609	ENST00000450056	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=4839;STRAND=-1
chr13_20119598_insertion	chr13:20119598	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_20990488_insertion	chr13:20990488	insertion	ENSG00000150457	ENST00000382592	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_22000541_insertion	chr13:22000541	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_22449664_insertion	chr13:22449664	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_22933566_insertion	chr13:22933566	insertion	ENSG00000289217	ENST00000701142	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.01
chr13_22933582_insertion	chr13:22933582	insertion	ENSG00000289217	ENST00000701142	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.01
chr13_23050299_insertion	chr13:23050299	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_24052844_insertion	chr13:24052844	insertion	ENSG00000182957	ENST00000424834	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_24314886_insertion	chr13:24314886	insertion	ENSG00000240654	ENST00000332018	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.01
chr13_25032011_insertion	chr13:25032011	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_25032013_insertion	chr13:25032013	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_25573767_insertion	chr13:25573767	insertion	ENSG00000132932	ENST00000381655	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_25979053_insertion	chr13:25979053	insertion	ENSG00000132932	ENST00000381655	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_26242012_insertion	chr13:26242012	insertion	ENSG00000227882	ENST00000431978	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=4883;STRAND=1
chr13_26242120_insertion	chr13:26242120	insertion	ENSG00000227882	ENST00000431978	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=4991;STRAND=1
chr13_27935079_insertion	chr13:27935079	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_27935080_insertion	chr13:27935080	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_28088584_insertion	chr13:28088584	insertion	ENSG00000122025	ENST00000241453	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_28106927_insertion	chr13:28106927	insertion	ENSG00000235115	ENST00000429873	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=504;STRAND=1
chr13_31746671_insertion	chr13:31746671	insertion	ENSG00000133105	ENST00000298386	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_31889602_insertion	chr13:31889602	insertion	ENSG00000073910	ENST00000428783	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_32348395_insertion	chr13:32348395	insertion	ENSG00000139618	ENST00000380152	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_33360681_insertion	chr13:33360681	insertion	ENSG00000230490	ENST00000686875	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_33758984_insertion	chr13:33758984	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_36142676_insertion	chr13:36142676	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_36142690_insertion	chr13:36142690	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_38596771_insertion	chr13:38596771	insertion	ENSG00000229437	ENST00000657759	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_39229096_insertion	chr13:39229096	insertion	ENSG00000183722	ENST00000648377	Transcript	intron_variant,NMD_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_39285922_insertion	chr13:39285922	insertion	ENSG00000183722	ENST00000648377	Transcript	intron_variant,NMD_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_39285958_insertion	chr13:39285958	insertion	ENSG00000183722	ENST00000648377	Transcript	intron_variant,NMD_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_39285970_insertion	chr13:39285970	insertion	ENSG00000183722	ENST00000648377	Transcript	intron_variant,NMD_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_40910762_insertion	chr13:40910762	insertion	ENSG00000239827	ENST00000604259	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.01
chr13_42659993_insertion	chr13:42659993	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_43247905_insertion	chr13:43247905	insertion	ENSG00000120658	ENST00000690772	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_43616147_insertion	chr13:43616147	insertion	ENSG00000120658	ENST00000690772	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_44121811_insertion	chr13:44121811	insertion	ENSG00000227258	ENST00000618753	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_44852490_insertion	chr13:44852490	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_45004944_insertion	chr13:45004944	insertion	ENSG00000133114	ENST00000379151	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_45431244_insertion	chr13:45431244	insertion	ENSG00000229303	ENST00000420177	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=4877;STRAND=1
chr13_46054774_insertion	chr13:46054774	insertion	ENSG00000080618	ENST00000181383	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_47711908_insertion	chr13:47711908	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_49318670_insertion	chr13:49318670	insertion	ENSG00000102547	ENST00000409308	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_49318671_insertion	chr13:49318671	insertion	ENSG00000102547	ENST00000409308	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_49620922_insertion	chr13:49620922	insertion	ENSG00000176882	ENST00000451812	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=276;STRAND=1
chr13_49620923_insertion	chr13:49620923	insertion	ENSG00000176882	ENST00000451812	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=277;STRAND=1
chr13_50495215_insertion	chr13:50495215	insertion	ENSG00000176124	ENST00000490577	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_52430044_insertion	chr13:52430044	insertion	ENSG00000136100	ENST00000378060	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_52469576_insertion	chr13:52469576	insertion	ENSG00000136108	ENST00000258607	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_53034084_insertion	chr13:53034084	insertion	ENSG00000102837	ENST00000219022	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_53949973_insertion	chr13:53949973	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_55792178_insertion	chr13:55792178	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_59983160_insertion	chr13:59983160	insertion	ENSG00000139734	ENST00000400324	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_62080710_insertion	chr13:62080710	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_62339680_insertion	chr13:62339680	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_62742532_insertion	chr13:62742532	insertion	ENSG00000228669	ENST00000656857	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_63390210_insertion	chr13:63390210	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_63397343_insertion	chr13:63397343	insertion	ENSG00000287996	ENST00000652818	Transcript	non_coding_transcript_exon_variant,feature_elongation	236	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_64975096_insertion	chr13:64975096	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_65097230_insertion	chr13:65097230	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_65375380_insertion	chr13:65375380	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_66002843_insertion	chr13:66002843	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_66566752_insertion	chr13:66566752	insertion	ENSG00000184226	ENST00000377865	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_67237475_insertion	chr13:67237475	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_67532138_insertion	chr13:67532138	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_67532151_insertion	chr13:67532151	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_69551663_insertion	chr13:69551663	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_70467834_insertion	chr13:70467834	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_72394398_insertion	chr13:72394398	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_73738133_insertion	chr13:73738133	insertion	ENSG00000118922	ENST00000377669	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_73852166_insertion	chr13:73852166	insertion	ENSG00000118922	ENST00000377669	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_74039009_insertion	chr13:74039009	insertion	ENSG00000118922	ENST00000377669	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_76114064_insertion	chr13:76114064	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_76961588_insertion	chr13:76961588	insertion	ENSG00000102794	ENST00000377462	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=2950;STRAND=1
chr13_76961747_insertion	chr13:76961747	insertion	ENSG00000102794	ENST00000377462	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=3109;STRAND=1
chr13_78119123_insertion	chr13:78119123	insertion	ENSG00000234377	ENST00000607862	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr13_79200228_insertion	chr13:79200228	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_79200233_insertion	chr13:79200233	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_79857837_insertion	chr13:79857837	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_79988619_insertion	chr13:79988619	insertion	ENSG00000284196	ENST00000648514	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_80160763_insertion	chr13:80160763	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_80627709_insertion	chr13:80627709	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_80948856_insertion	chr13:80948856	insertion	ENSG00000286746	ENST00000665186	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr13_81128179_insertion	chr13:81128179	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_81236159_insertion	chr13:81236159	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_82142028_insertion	chr13:82142028	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_82243144_insertion	chr13:82243144	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_82243192_insertion	chr13:82243192	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_82243395_insertion	chr13:82243395	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_82605328_insertion	chr13:82605328	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_82643093_insertion	chr13:82643093	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_83173429_insertion	chr13:83173429	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_85110395_insertion	chr13:85110395	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_85560017_insertion	chr13:85560017	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr13_85592283_insertion	chr13:85592283	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
